id,genre,track_name,artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,sqenergy
4Pl8ViAolRF4rK8QBMhKd9,acoustic,Redemption Song,Bob Marley & The Wailers,0.585,0.666,227840,0.259,0.0,0,0.079,-10.721,1,0.04,116.082,4,0.698,0.067081
2vO1wr5wIEHqQmY4jWbuhi,acoustic,Angel,Jack Johnson,0.896,0.619,122707,0.0568,0.0967,3,0.114,-19.197,1,0.0433,176.279,4,0.357,0.0032262400000000004
6akbXZeXdrWWsG77ZD3cuD,acoustic,Believe,Justin Bieber,0.163,0.51,222560,0.847,0.0,0,0.156,-5.603,1,0.155,159.83,4,0.508,0.717409
2tKKxF5LTNcSlVtrLSlaMD,acoustic,The General,DISPATCH,0.407,0.599,245413,0.673,0.0,10,0.105,-5.964,1,0.182,93.246,4,0.66,0.4529290000000001
24M81fKyhTWBuYzczQMkOp,acoustic,One Of These Things First,Nick Drake,0.831,0.607,290733,0.378,0.399,4,0.0957,-18.354,1,0.0363,90.338,3,0.661,0.142884
1nuqzCMgj2lxZCmpdCmIGv,acoustic,A Lack of Color,Various Artists,0.805,0.635,216427,0.337,0.00256,3,0.142,-12.125,1,0.0288,135.826,4,0.357,0.11356900000000002
6GrrkiCRO3HYdgRpO4eKEL,acoustic,Swing Life Away,Rise Against,0.544,0.477,200067,0.426,0.0,6,0.0903,-6.961,1,0.043,184.866,3,0.789,0.181476
5jclmAX2XQp5G3b6K30UJl,acoustic,Clairvoyant,The Story So Far,0.859,0.387,181029,0.352,0.0,8,0.135,-6.864,1,0.027,86.168,4,0.137,0.12390399999999999
38YgZVHPWOWsKrsCXz6JyP,acoustic,Come On Get Higher,Matt Nathanson,0.241,0.672,215173,0.623,0.0,9,0.0848,-5.699,1,0.0297,92.018,4,0.617,0.388129
54JkQYApvJ6oan1kpJRKVS,acoustic,Wonderful World,Various Artists,0.052,0.485,212413,0.679,0.0,1,0.0961,-5.31,1,0.0281,79.016,4,0.596,0.4610410000000001
7jPumBvn7m7l3nolkML3cZ,acoustic,Love The Way You Lie - Part III (Original Demo),Skylar Grey,0.91,0.568,249933,0.248,0.0,10,0.0732,-11.544,1,0.0352,83.012,4,0.232,0.061503999999999996
6oVt9GBbquoFDz3VTPFe1e,acoustic,Lullaby,Loudon Wainwright III,0.541,0.566,177707,0.168,0.0349,0,0.107,-16.778,1,0.0387,115.643,4,0.282,0.028224000000000003
7uDPmBmZ2Tv3SfeqLyJ12Q,acoustic,Sure Thing - Spotify Sessions,Miguel,0.6,0.613,192187,0.47,0.0,5,0.796,-4.547,0,0.101,138.134,4,0.413,0.22089999999999999
4I2GqMe7L2ccMpUbnDzYLH,acoustic,Somebody To Love,Justin Bieber,0.00241,0.719,220920,0.839,0.0,5,0.228,-5.235,1,0.0257,129.97,4,0.636,0.7039209999999999
4nVBt6MZDDP6tRVdQTgxJg,acoustic,Story of My Life,One Direction,0.225,0.6,245493,0.663,0.0,3,0.119,-5.802,1,0.0477,121.07,4,0.286,0.43956900000000004
4fZ0mkzk0ktr4WVfjqyUv2,acoustic,Hear Me Now,Boyce Avenue,0.000744,0.48,244480,0.836,2.1e-05,1,0.18,-3.244,1,0.0305,106.075,4,0.323,0.698896
